,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
288,3,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,69490,72,7
289,5,1,2,1,3,1,6,0,2,1,0,0,2,1,1,3,68990,44,8
290,5,1,2,1,3,1,6,0,2,0,0,0,0,0,1,3,77990,17,2
291,1,1,2,1,3,5,6,0,2,1,0,0,0,1,0,3,105990,59,11
292,6,1,2,1,3,5,6,0,2,1,0,0,0,0,0,2,79990,0,0
293,3,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,55490,337,27
294,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,69990,10,2
295,1,1,2,1,3,1,6,0,2,1,0,0,0,1,1,3,84990,10,2
296,3,1,2,1,3,1,6,0,2,1,0,2,3,0,0,2,59990,31,7
297,3,1,2,0,3,5,6,0,2,1,0,2,0,0,1,2,111890,0,0
298,3,1,2,1,3,1,6,0,2,1,1,0,0,0,0,3,65990,10,0
299,1,1,2,1,3,5,6,0,2,0,0,0,0,0,1,3,72990,76,14
300,3,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,71090,44,6
301,6,1,2,1,3,1,6,0,2,1,2,0,1,0,0,2,74990,0,0
302,1,1,2,0,3,3,6,0,2,1,0,0,0,0,1,3,79990,11,3
303,6,1,2,1,3,1,6,0,2,1,0,0,0,0,0,3,55490,138,16
304,3,1,2,1,3,1,6,0,2,1,1,2,0,0,1,3,66490,199,17
305,1,1,2,1,3,1,6,0,2,1,0,0,0,0,1,3,53400,46,6
306,3,1,2,1,3,1,6,0,2,1,0,0,0,1,1,3,74500,45,5
307,3,1,2,1,3,5,6,0,2,1,0,2,0,0,1,2,114990,0,0
308,3,1,2,1,3,1,6,0,2,1,1,2,3,0,0,3,61990,35,4
309,0,1,2,0,3,5,6,0,1,1,0,0,0,0,0,3,159990,32,5
310,0,1,2,5,3,0,6,0,1,1,0,0,0,0,0,3,172090,108,13
311,6,1,2,1,3,1,6,0,2,1,2,0,3,0,0,2,74990,0,0
312,6,1,2,0,3,1,6,0,2,1,0,0,0,0,0,3,56490,814,112
313,5,1,2,0,3,1,6,0,2,1,0,2,2,0,0,2,147000,0,0
314,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,55990,75,9
315,4,1,2,1,3,1,6,0,2,1,2,1,0,0,1,2,77990,0,0
316,4,1,2,0,3,1,6,0,2,1,2,0,0,0,1,3,106490,3,0
317,5,1,2,1,3,1,6,0,2,0,1,0,0,0,1,3,70990,11,3
318,5,1,2,1,3,1,6,0,2,1,0,0,0,0,1,3,64990,125,11
319,7,1,2,1,3,1,6,0,2,1,0,0,0,0,0,2,57990,0,0
320,1,1,2,0,3,1,6,0,2,1,2,1,0,0,0,3,64990,4,0
321,6,1,2,0,3,1,6,0,2,1,0,0,0,0,0,3,54990,714,147
322,4,1,2,1,3,5,6,0,2,1,0,0,3,1,0,2,111999,0,0
323,5,1,2,0,3,5,6,0,2,1,1,0,0,0,1,3,70798,21,3
324,5,1,2,6,3,1,6,0,2,1,2,0,3,0,0,2,59990,9,1
325,7,1,2,5,3,1,6,0,2,1,2,0,0,0,0,2,99500,0,0
326,4,1,2,0,3,1,6,0,2,1,0,2,0,0,1,3,55990,30,4
327,1,1,2,5,3,3,6,0,2,1,0,2,0,0,0,3,72990,44,4
328,7,1,2,5,3,0,6,0,2,1,0,2,0,0,0,2,64990,4,1
329,1,1,2,1,3,1,6,0,2,1,0,2,3,0,0,2,57990,0,0
